국가,GDP per capita,Average temeprature
 Burkina Faso, 787 ,28.3 
 Mali, 887 ,28.3 
 Kiribati," 1,657 ",28.2 
 Djibouti," 3,252 ",28.0 
 Tuvalu," 4,036 ",28.0 
 Senegal," 1,452 ",27.9 
 Mauritania," 1,678 ",27.7 
 Maldives," 10,626 ",27.7 
 Palau," 15,572 ",27.6 
 Benin," 1,220 ",27.6 
" Gambia, The", 776 ,27.5 
 Marshall Islands," 4,038 ",27.4 
 Ghana," 2,203 ",27.2 
 Bahrain," 23,504 ",27.2 
 Niger, 555 ,27.2 
 Qatar," 64,782 ",27.2 
 Seychelles," 17,382 ",27.2 
 Togo, 899 ,27.2 
 Somalia, 105 ,27.1 
 United Arab Emirates," 43,103 ",27.0 
 Sri Lanka," 3,940 ",27.0 
 Sudan, 815 ,26.9 
 Brunei," 31,086 ",26.9 
 Cambodia," 1,644 ",26.8 
 Nigeria," 2,361 ",26.8 
 Saint Vincent and the Grenadines," 7,464 ",26.8 
 Guinea-Bissau, 688 ,26.8 
 Samoa," 4,285 ",26.7 
 Grenada," 10,818 ",26.7 
 Chad, 707 ,26.6 
 Singapore," 64,103 ",26.5 
 Côte d'Ivoire," 2,276 ",26.4 
 Thailand," 7,785 ",26.3 
 Sierra Leone, 528 ,26.1 
 Antigua and Barbuda," 17,113 ",26.0 
 Barbados," 18,149 ",26.0 
 Guyana," 6,610 ",26.0 
 Indonesia," 4,136 ",25.9 
 Micronesia," 3,640 ",25.9 
 Philippines," 3,324 ",25.9 
 Trinidad and Tobago," 16,637 ",25.8 
 Guinea, 967 ,25.7 
 Suriname," 6,360 ",25.7 
 Solomon Islands," 1,945 ",25.7 
 Oman," 15,343 ",25.6 
 Comoros," 1,370 ",25.6 
 Eritrea, 567 ,25.5 
 Saint Lucia," 11,611 ",25.5 
 Malaysia," 11,414 ",25.4 
 Panama," 15,728 ",25.4 
 Belize," 4,884 ",25.3 
 Kuwait," 31,999 ",25.4 
 Venezuela," 4,733 ",25.4 
 Liberia, 523 ,25.3 
 East Timor," 1,561 ",25.3 
